epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,8313,1.01962,0.54768,1.23437,0.85071,0.87844,0.88688,0.62972,1.08895,0.66499,1.20501,0.000491833,0.000491833,0.000491833
43,8509.5,1.02461,0.55412,1.24453,0.89478,0.88456,0.90458,0.61735,1.13328,0.60565,1.20441,0.000491432,0.000491432,0.000491432
44,8706.01,1.0262,0.55604,1.24869,0.88027,0.8816,0.90144,0.60469,1.16743,0.63045,1.21764,0.000491022,0.000491022,0.000491022
45,8902.52,1.01754,0.54824,1.23185,0.89243,0.89721,0.8852,0.60584,1.17172,0.6323,1.19444,0.000490602,0.000490602,0.000490602
46,9098.84,1.0102,0.54347,1.21966,0.8743,0.89016,0.87448,0.6268,1.10403,0.63391,1.18135,0.000490173,0.000490173,0.000490173
47,9295.2,1.01133,0.53864,1.22917,0.86827,0.87579,0.88299,0.62152,1.09592,0.6095,1.19176,0.000489734,0.000489734,0.000489734
48,9491.55,0.9767,0.51076,1.1997,0.87681,0.8691,0.88732,0.63169,1.05412,0.60914,1.1693,0.000489286,0.000489286,0.000489286
49,9687.98,0.98915,0.51985,1.19981,0.85197,0.87012,0.88518,0.61686,1.1196,0.62027,1.1746,0.000488829,0.000488829,0.000488829
50,9884.5,1.00706,0.54317,1.2153,0.86631,0.84741,0.86816,0.60356,1.13742,0.6454,1.19458,0.000488362,0.000488362,0.000488362
51,10080.9,0.97785,0.52843,1.20016,0.8975,0.88546,0.89218,0.61324,1.16289,0.61801,1.19996,0.000487886,0.000487886,0.000487886
52,10277.5,0.98362,0.5205,1.20223,0.8864,0.88504,0.88364,0.61757,1.11774,0.61484,1.16607,0.000487401,0.000487401,0.000487401
53,10474,0.95765,0.5097,1.19368,0.88187,0.87993,0.88949,0.6061,1.19579,0.61555,1.21977,0.000486907,0.000486907,0.000486907
54,10670.5,0.97701,0.52094,1.2081,0.9074,0.88977,0.88277,0.61733,1.06395,0.63485,1.16802,0.000486403,0.000486403,0.000486403
55,10867,0.96932,0.51896,1.20326,0.89761,0.86794,0.88228,0.62455,1.08982,0.60983,1.17905,0.00048589,0.00048589,0.00048589
56,11063.5,0.96367,0.50339,1.19926,0.90611,0.87388,0.88419,0.6258,1.13436,0.59531,1.20462,0.000485368,0.000485368,0.000485368
57,11260.1,0.95466,0.50393,1.19172,0.87213,0.89722,0.87788,0.62424,1.09123,0.60188,1.21069,0.000484837,0.000484837,0.000484837
58,11456.8,0.93118,0.48562,1.15908,0.88958,0.89664,0.88432,0.60977,1.1383,0.6045,1.19074,0.000484296,0.000484296,0.000484296
59,11653.5,0.95296,0.49684,1.17998,0.90042,0.86153,0.86813,0.62295,1.08442,0.59311,1.19263,0.000483746,0.000483746,0.000483746
60,11850.1,0.92061,0.48456,1.16424,0.88138,0.88621,0.87641,0.62539,1.07276,0.60924,1.16769,0.000483188,0.000483188,0.000483188
61,12046.9,0.93531,0.48632,1.16801,0.86681,0.87366,0.87189,0.61581,1.10141,0.61916,1.20446,0.00048262,0.00048262,0.00048262
62,12243.6,0.94218,0.49978,1.18239,0.89527,0.89032,0.88936,0.61803,1.14476,0.62143,1.21265,0.000482043,0.000482043,0.000482043
63,12440.2,0.93589,0.50473,1.18504,0.90351,0.91108,0.88501,0.62104,1.12932,0.60171,1.19594,0.000481457,0.000481457,0.000481457
64,12636.7,0.9219,0.47965,1.1578,0.87251,0.86954,0.87287,0.62734,1.07612,0.6267,1.19131,0.000480862,0.000480862,0.000480862
65,12833.3,0.9216,0.48481,1.16884,0.90951,0.87505,0.88397,0.61395,1.13717,0.60603,1.2214,0.000480257,0.000480257,0.000480257
66,13029.8,0.9464,0.49165,1.17216,0.9027,0.87284,0.8839,0.61909,1.09502,0.58959,1.18583,0.000479644,0.000479644,0.000479644
67,13226.4,0.91509,0.48426,1.16459,0.91236,0.86436,0.88779,0.62188,1.11651,0.58019,1.20017,0.000479022,0.000479022,0.000479022
68,13422.9,0.91799,0.48706,1.1657,0.88763,0.90145,0.89014,0.62974,1.1001,0.58756,1.18331,0.000478391,0.000478391,0.000478391
69,13619.3,0.9203,0.47076,1.15089,0.89884,0.89167,0.88205,0.62599,1.11917,0.60136,1.18722,0.000477751,0.000477751,0.000477751
70,13815.6,0.89679,0.46498,1.13948,0.90887,0.86903,0.8724,0.62382,1.03119,0.63003,1.16204,0.000477102,0.000477102,0.000477102
71,14012,0.90246,0.47579,1.15637,0.90817,0.88308,0.88294,0.61804,1.19723,0.63873,1.25583,0.000476445,0.000476445,0.000476445
72,14208.6,0.90767,0.47553,1.15847,0.90956,0.88682,0.88411,0.64212,1.02072,0.58371,1.16617,0.000475778,0.000475778,0.000475778
73,14406.1,0.90018,0.46755,1.15723,0.90337,0.88575,0.88903,0.6278,1.14465,0.57535,1.19963,0.000475103,0.000475103,0.000475103
74,14602.6,0.90675,0.47225,1.14744,0.90734,0.88555,0.88445,0.64695,1.05765,0.56934,1.15573,0.000474419,0.000474419,0.000474419
75,14799.8,0.88318,0.4584,1.13171,0.87732,0.88526,0.88433,0.62412,1.09863,0.57058,1.19001,0.000473726,0.000473726,0.000473726
76,14996.3,0.89744,0.47172,1.13609,0.87362,0.90993,0.88941,0.64498,1.01272,0.56129,1.15529,0.000473024,0.000473024,0.000473024
77,15192.8,0.88251,0.46747,1.13509,0.88501,0.89185,0.89471,0.62199,1.11359,0.56546,1.19269,0.000472314,0.000472314,0.000472314
78,15389.3,0.88086,0.46771,1.12853,0.87131,0.89778,0.89887,0.64487,1.07437,0.57178,1.18998,0.000471595,0.000471595,0.000471595
79,15585.8,0.87122,0.46245,1.12916,0.89052,0.89165,0.87969,0.63303,1.06998,0.57684,1.18993,0.000470867,0.000470867,0.000470867
80,15782.3,0.87705,0.46254,1.12448,0.89906,0.86916,0.87865,0.6139,1.12545,0.58675,1.17692,0.000470131,0.000470131,0.000470131
81,15978.9,0.86233,0.45685,1.11767,0.89453,0.89398,0.89746,0.64079,1.04294,0.58982,1.15139,0.000469386,0.000469386,0.000469386
82,16175.3,0.8726,0.46221,1.12949,0.9059,0.89719,0.88825,0.64045,1.03968,0.57131,1.16675,0.000468632,0.000468632,0.000468632
83,16371.8,0.86692,0.45695,1.13072,0.89293,0.91074,0.89322,0.62637,1.12197,0.59795,1.21207,0.00046787,0.00046787,0.00046787
84,16568.3,0.84875,0.44603,1.11183,0.89697,0.88756,0.88703,0.64093,1.03101,0.57356,1.16273,0.0004671,0.0004671,0.0004671
85,16765.2,0.85938,0.4475,1.11523,0.91299,0.90539,0.88076,0.61336,1.14303,0.58391,1.2239,0.000466321,0.000466321,0.000466321
86,16962,0.86371,0.45502,1.12234,0.88432,0.91312,0.89461,0.63881,1.10982,0.57319,1.21589,0.000465534,0.000465534,0.000465534
87,17158.7,0.84165,0.44171,1.11219,0.88243,0.89848,0.8806,0.62654,1.10127,0.57094,1.19319,0.000464738,0.000464738,0.000464738
88,17355.5,0.84504,0.441,1.11502,0.91003,0.88478,0.87902,0.6315,1.07746,0.57467,1.17789,0.000463934,0.000463934,0.000463934
89,17552.4,0.84437,0.43767,1.09858,0.90255,0.88794,0.89026,0.62368,1.10385,0.56749,1.21598,0.000463121,0.000463121,0.000463121
90,17749.2,0.83478,0.43975,1.10327,0.88917,0.89531,0.88852,0.62843,1.07018,0.56539,1.19528,0.0004623,0.0004623,0.0004623
91,17945.8,0.87192,0.4471,1.12885,0.89481,0.88414,0.89019,0.64575,1.03479,0.56925,1.14339,0.000461471,0.000461471,0.000461471
92,18142.3,0.84728,0.4377,1.11349,0.89671,0.90352,0.88773,0.64998,1.02025,0.55591,1.1615,0.000460634,0.000460634,0.000460634
